alibaba/nacos,https://github.com/alibaba/nacos/issues/3665,The Raft Group [nacos_config] did not find the Leader node
alibaba/nacos,https://github.com/alibaba/nacos/pull/3656,[ISSUE #3621 Fix Passwords containing special characters are not supported (such as character "+")
alibaba/nacos,https://github.com/alibaba/nacos/pull/3654,[ISSUE#3315]Nacos client support https
alibaba/nacos,https://github.com/alibaba/nacos/pull/3574,Fix #2195 add interface getConfigInfo getConfigToProperties and add content parse properties ContentUtils.toProperties() Support (xml,json,yaml,properties)
alibaba/nacos,https://github.com/alibaba/nacos/pull/2900,[ISSUE#2885]check parameter for naming service
alibaba/nacos,https://github.com/alibaba/nacos/issues/2804,IBM JDK
alibaba/nacos,https://github.com/alibaba/nacos/issues/2732,Failed to obtain JDBC Connection; Mysql version is 5.7.x
alibaba/nacos,https://github.com/alibaba/nacos/pull/2662,[ISSUE #2660]  Add the type parameter when call publishConfig(), and support Aliyun ACM
alibaba/nacos,https://github.com/alibaba/nacos/issues/2590,Unable to start web server nacos1.2.1
alibaba/nacos,https://github.com/alibaba/nacos/issues/2555,nacos 1.2.0. dom name can only have these characters: 0-9a-zA-Z-._
alibaba/nacos,https://github.com/alibaba/nacos/issues/2395,500 msg: java.net.SocketTimeoutException: connect timed out
google/closure-compiler,https://github.com/google/closure-compiler/issues/3658,Internal compile error when accessing property of return value inside a condition with language out ES2017
google/closure-compiler,https://github.com/google/closure-compiler/issues/3657,Re-export of default from commonjs module throws internal error
google/closure-compiler,https://github.com/google/closure-compiler/issues/3599,Returning loop variables inside a object property getter causes crash
google/closure-compiler,https://github.com/google/closure-compiler/issues/3593,Internal compiler error due to unexpected variable (which is not part of the program)
google/closure-compiler,https://github.com/google/closure-compiler/issues/3592,java.lang.IllegalStateException: Object method calls can not be decomposed
google/closure-compiler,https://github.com/google/closure-compiler/issues/3591,Internal functions can capture implementation names by using $jscomp$
google/closure-compiler,https://github.com/google/closure-compiler/issues/3545,BROWSER_WITH_TRANSFORMED_PREFIXES causes NullPointerException when imported module is not found
google/closure-compiler,https://github.com/google/closure-compiler/issues/3511,NullPointerException during compilation of cocos2d application
google/closure-compiler,https://github.com/google/closure-compiler/issues/3484,java.lang.NullPointerException: NAME goog 12
google/closure-compiler,https://github.com/google/closure-compiler/issues/3480,NullPointerException when mismatching type is a primitive type in templates
google/closure-compiler,https://github.com/google/closure-compiler/issues/3381,NullPointerException when inlining literals in dead code
google/closure-compiler,https://github.com/google/closure-compiler/issues/3379,IllegalStateException when using binary assignment operator on string length
google/closure-compiler,https://github.com/google/closure-compiler/issues/3377,NullPointerException when defining function named "arguments" inside arrow function
google/closure-compiler,https://github.com/google/closure-compiler/issues/3376,UnsupportedOperationException when using variable "arguments" inside arrow function body
google/closure-compiler,https://github.com/google/closure-compiler/issues/3375,NullPointerException when using arrow functions with argument named "argument"
google/closure-compiler,https://github.com/google/closure-compiler/issues/3336,NullPointerException in calculated default values
google/closure-compiler,https://github.com/google/closure-compiler/issues/3284,INTERNAL COMPILER ERROR when compiling into ES6
